sl,PubChem_CID,drugbank_id,name,inchikey,inchi,description,smiles,logP,DIRIL_Rank,2023 ATC Search Name,2023 DDD,2023 Unit
11,60846,DB00177,Valsartan,ACWBQPMHZXGDFX-QFIPXVFZSA-N,"InChI=1S/C24H29N5O3/c1-4-5-10-21(30)29(22(16(2)3)24(31)32)15-17-11-13-18(14-12-17)19-8-6-7-9-20(19)23-25-27-28-26-23/h6-9,11-14,16,22H,4-5,10,15H2,1-3H3,(H,31,32)(H,25,26,27,28)/t22-/m0/s1","Valsartan belongs to the angiotensin II receptor blocker (ARB) family of drugs, which also includes [telmisartan], [candesartan], [losartan], [olmesartan], and [irbesartan]. ARBs selectively bind to angiotensin receptor 1 (AT1) and prevent the protein angiotensin II from binding and exerting its hypertensive effects, which include vasoconstriction, stimulation and synthesis of aldosterone and ADH, cardiac stimulation, and renal reabsorption of sodium, among others. Overall, valsartan's physiologic effects lead to reduced blood pressure, lower aldosterone levels, reduced cardiac activity, and increased excretion of sodium. 

Valsartan also affects the renin-angiotensin aldosterone system (RAAS), which plays an important role in hemostasis and regulation of kidney, vascular, and cardiac functions. Pharmacological blockade of RAAS via  AT1 receptor blockade inhibits negative regulatory feedback within RAAS, which is a contributing factor to the pathogenesis and progression of cardiovascular disease, heart failure, and renal disease. In particular, heart failure is associated with chronic activation of RAAS, leading to inappropriate fluid retention, vasoconstriction, and ultimately a further decline in left ventricular function. ARBs have been shown to have a protective effect on the heart by improving cardiac function, reducing afterload, increasing cardiac output and preventing ventricular hypertrophy and remodelling.[A174154] 

By comparison, the angiotensin-converting enzyme inhibitor (ACEI) class of medications (which includes drugs such as [ramipril], [lisinopril], and [perindopril]) inhibit the conversion of angiotensin I to angiotensin II through inhibition of the ACE enzyme. However, this does not prevent the formation of all angiotensin II within the body. The angiotensin II receptor blocker (ARB) family of drugs unique in that it blocks all angiotensin II activity, regardless of where or how it was synthesized. 

Valsartan is commonly used for the management of hypertension, heart failure, and Type 2 Diabetes-associated nephropathy, particularly in patients who are unable to tolerate ACE inhibitors. ARBs such as valsartan have been shown in a number of large-scale clinical outcomes trials to improve cardiovascular outcomes including reducing risk of myocardial infarction, stroke, the progression of heart failure, and hospitalization.[A174124,A178153,A173869,A185324,A185327,A185333,A185342,A185345] Valsartan also slows the progression of diabetic nephropathy due to its renoprotective effects.[A174157,A174160,A174163] Improvements in chronic kidney disease with valsartan include both clinically and statistically significant decreases in urinary albumin and protein excretion in patients diagnosed with type 2 diabetes and in nondiabetic patients diagnosed with chronic kidney disease.[A174124,A173869]

Valsartan was initially approved in 1996 in Europe for the treatment of hypertension in adults. Shortly after, in 1997, this drug was approved in the United States.[A174124] Valsartan is generally well-tolerated with a side-effect profile superior to that of other antihypertensive drugs.[A174130,A174133]",CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,1.499,Nephrotoxic,Valsartan,80,mg
12,71616,DB00582,Voriconazole,BCEHBSKCWLPMDN-MGPLVRAMSA-N,"InChI=1S/C16H14F3N5O/c1-10(15-14(19)5-20-7-22-15)16(25,6-24-9-21-8-23-24)12-3-2-11(17)4-13(12)18/h2-5,7-10,25H,6H2,1H3/t10-,16+/m0/s1","Voriconazole (Vfend, Pfizer) is a triazole antifungal medication used to treat serious fungal infections.[L15571] It is used to treat invasive fungal infections that are generally seen in patients who are immunocompromised. These include invasive candidiasis, invasive aspergillosis, and emerging fungal infections. The increased affinity of voriconazole for 14-alpha sterol demethylase makes it useful against some [fluconazole]-resistant organisms.[A236050]

Voriconazole was approved by the FDA under the trade name Vfend on May 24, 2002.[L34660]",C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,,Nephrotoxic,Voriconazole,0.4,g
13,35370,DB00495,Zidovudine,HBOMLICNUCNMMY-XLPZGREQSA-N,"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/t6-,7+,8+/m0/s1","A dideoxynucleoside compound in which the 3&#39;-hydroxy group on the sugar moiety has been replaced by an azido group. This modification prevents the formation of phosphodiester linkages which are needed for the completion of nucleic acid chains. The compound is a potent inhibitor of HIV replication, acting as a chain-terminator of viral DNA during reverse transcription. It improves immunologic function, partially reverses the HIV-induced neurological dysfunction, and improves certain other clinical abnormalities associated with AIDS. Its principal toxic effect is dose-dependent suppression of bone marrow, resulting in anemia and leukopenia. [PubChem]",CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,0.05,Nephrotoxic,Zidovudine,0.6,g
14,2244,DB00945,Acetylsalicylic acid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)","Also known as _Aspirin_, acetylsalicylic acid (ASA) is a commonly used drug for the treatment of pain and fever due to various causes. Acetylsalicylic acid has both anti-inflammatory and antipyretic effects.  This drug also inhibits platelet aggregation and is used in the prevention of blood clots stroke, and myocardial infarction (MI) [FDA label].  

Interestingly, the results of various studies have demonstrated that long-term use of acetylsalicylic acid may decrease the risk of various cancers, including colorectal, esophageal, breast, lung, prostate, liver and skin cancer [A177325]. Aspirin is classified as a _non-selective cyclooxygenase (COX) inhibitor_ [A32682, A177268] and is available in many doses and forms, including chewable tablets, suppositories, extended release formulations, and others [L5968]. 

Acetylsalicylic acid is a very common cause of accidental poisoning in young children. It should be kept out of reach from young children, toddlers, and infants [FDA label].",CC(=O)OC1=CC=CC=C1C(O)=O,1.18,Nephrotoxic,Acetylsalicylic acid,1,tablet
15,4756,DB01438,Phenazopyridine,QPFYXYFORQJZEC-FOCLMDBBSA-N,"InChI=1S/C11H11N5/c12-10-7-6-9(11(13)14-10)16-15-8-4-2-1-3-5-8/h1-7H,(H4,12,13,14)/b16-15+","Phenazopyridine, also known as Pyridium, is a urinary tract analgesic used for the short-term management of urinary tract irritation and its associated unpleasant symptoms such as burning and pain during urination. In the USA, this drug was previously marked by Roche but has been discontinued by the FDA.[L7832] It is still used in various parts of the world. Ingestion of phenazopyridine is found to change the appearance of the urine by imparting an orange or red color, as it is considered an azo dye.[L7829]",NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1,2.62,Nephrotoxic,Phenazopyridine,0.6,g
16,5215,DB00359,Sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)",One of the short-acting sulfonamides used in combination with pyrimethamine to treat toxoplasmosis in patients with acquired immunodeficiency syndrome and in newborns with congenital infections.,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,-0.09,Nephrotoxic,Sulfadiazine,0.6,g
17,7028,DB00852,Pseudoephedrine,KWGRBVOPPLSCSI-WCBMZHEXSA-N,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10+/m0/s1","Pseudoephedrine is structurally related to [ephedrine] but exerts a weaker effect on the sympathetic nervous system.[A188820,A188823] Both drugs naturally occur in in ephedra plant which have a history of use in traditional Eastern medicine and were first researched in the west in 1889.[A188823] The decongestant effect of pseudoephedrine was described in dogs in 1927.[A188823]",CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,0.89,Non-Nephrotoxic,Pseudoephedrine,0.24,g
18,2764,DB00537,Ciprofloxacin,MYSWGUAQZAJSOK-UHFFFAOYSA-N,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)","Ciprofloxacin is a second generation fluoroquinolone that has spawned many derivative antibiotics.[A178870] It is formulated for oral, intravenous, intratympanic, ophthalmic, and otic administration for a number of bacterial infections.[L6469,L6472,L6475,L6478,L6481,L6484,L6487,L6490,L6493]

The first ciprofloxacin containing product was FDA approved on 22 October 1987.[L6463]",OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,0.28,Nephrotoxic,Ciprofloxacin,1,g
19,2907,DB00531,Cyclophosphamide,CMSMOCZEIVJLDB-UHFFFAOYSA-N,"InChI=1S/C7H15Cl2N2O2P/c8-2-5-11(6-3-9)14(12)10-4-1-7-13-14/h1-7H2,(H,10,12)","Precursor of an alkylating nitrogen mustard antineoplastic and immunosuppressive agent that must be activated in the liver to form the active aldophosphamide. It has been used in the treatment of lymphoma and leukemia. Its side effect, alopecia, has been used for defleecing sheep. Cyclophosphamide may also cause sterility, birth defects, mutations, and cancer.",ClCCN(CCCl)P1(=O)NCCCO1,0.8,Nephrotoxic,Cyclophosphamide,See Dosage Label Dosage Notes,See Dosage Label Dosage Notes
20,60852,DB00710,Ibandronate,MPBVHIBUJCELCL-UHFFFAOYSA-N,"InChI=1S/C9H23NO7P2/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17)","Ibandronate, or BM 21.0955, is a third generation, nitrogen containing bisphosphonate similar to [zoledronic acid], [minodronic acid], and [risedronic acid].[A203111,A203138] It is used to prevent and treat postmenopausal osteoporosis.[L13805,L13808] Ibandronate was first described in the literature in 1993 as a treatment for bone loss in dogs.[A203138]

Ibandronate was granted FDA approval on 16 May 2003.[L13805]",CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O,,Nephrotoxic,ibandronic acid,5,mg
21,56959,DB00243,Ranolazine,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,"InChI=1S/C24H33N3O4/c1-18-7-6-8-19(2)24(18)25-23(29)16-27-13-11-26(12-14-27)15-20(28)17-31-22-10-5-4-9-21(22)30-3/h4-10,20,28H,11-17H2,1-3H3,(H,25,29)","Chronic angina is a common cardiovascular condition affecting millions worldwide and causes significant disability while interfering with daily activities.[A189234] Ranolazine is a well-tolerated piperazine derivative used for the management of this condition, offering relief from uncomfortable and debilitating symptoms.[L3580] With a mechanism of action different from drugs used to treat the same condition, ranolazine is a promising anti-anginal therapy. It was originally approved by the FDA in 2006.[L5440]",COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,2.07,Nephrotoxic,Ranolazine,1.5,g
22,64929,DB13873,Fenofibric acid,MQOBSOSZFYZQOK-UHFFFAOYSA-N,"InChI=1S/C17H15ClO4/c1-17(2,16(20)21)22-14-9-5-12(6-10-14)15(19)11-3-7-13(18)8-4-11/h3-10H,1-2H3,(H,20,21)","Fenofibric acid is a lipid-lowering agent that is used in severe hypertriglyceridemia, primary hyperlipidemia, and mixed dyslipidemia. It works to decrease elevated low-density lipoprotein cholesterol, total cholesterol, triglycerides, apolipoprotein B, while increasing high-density lipoprotein cholesterol.[A32038,L12855] Due to its high hydrophilicity and poor absorption profile,[A32038] prodrug ,[fenofibrate], and other conjugated compounds of fenofibric acid, such as choline fenofibrate, have been developed for improved solubility, gastrointestinal absorption, and bioavailability, and more convenient administration.[A32038,A193362]",CC(C)(OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1)C(O)=O,,Nephrotoxic,choline fenofibrate,0.135,g
23,126941,DB00563,Methotrexate,FBOZXECLQNJBKD-ZDUSSCGKSA-N,"InChI=1S/C20H22N8O5/c1-28(9-11-8-23-17-15(24-11)16(21)26-20(22)27-17)12-4-2-10(3-5-12)18(31)25-13(19(32)33)6-7-14(29)30/h2-5,8,13H,6-7,9H2,1H3,(H,25,31)(H,29,30)(H,32,33)(H4,21,22,23,26,27)/t13-/m0/s1","Methotrexate is a folate derivative that inhibits several enzymes responsible for nucleotide synthesis.[A180322] This inhibition leads to suppression of inflammation as well as prevention of cell division.[A180322] Because of these effects, methotrexate is often used to treat inflammation caused by arthritis or to control cell division in neoplastic diseases such as breast cancer and non-Hodgkin's lymphoma.[A180322,L7144,L7147,L7150,L7180]

Due to the toxic effects of methotrexate, it is indicated for treatment of some forms of arthritis and severe psoriasis only if first line treatment has failed or patients are intolerant of those treatments.[L7180]

Methotrexate was granted FDA approval on 7 December 1953.[L7198]",CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,-1.85,Nephrotoxic,Methotrexate,2.5,mg
24,9887712,DB06292,Dapagliflozin,JVHXJTBJCFBINQ-ADAARDCZSA-N,"InChI=1S/C21H25ClO6/c1-2-27-15-6-3-12(4-7-15)9-14-10-13(5-8-16(14)22)21-20(26)19(25)18(24)17(11-23)28-21/h3-8,10,17-21,23-26H,2,9,11H2,1H3/t17-,18-,19+,20-,21+/m1/s1","Dapagliflozin is a sodium-glucose cotransporter 2 inhibitor indicated for managing diabetes mellitus type 2.[A6757] When combined with diet and exercise in adults, dapagliflozin helps to improve glycemic control by inhibiting glucose reabsorption in the proximal tubule of the nephron and causing glycosuria.[A6757] Dapagliflozin was approved by the FDA on Jan 08, 2014.[L6034]",CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,2.7,Nephrotoxic,Dapagliflozin,10,mg
25,5284627,DB00273,Topiramate,KJADKKWYZYXHBB-XBWDGYHZSA-N,"InChI=1S/C12H21NO8S/c1-10(2)18-7-5-16-12(6-17-22(13,14)15)9(8(7)19-10)20-11(3,4)21-12/h7-9H,5-6H2,1-4H3,(H2,13,14,15)/t7-,8-,9+,12+/m1/s1","Topiramate is a anti-epileptic drug used to manage seizures and prevent migraines.[A175249] It was initially approved by the FDA in 1996. In 2004, topiramate was approved for the prevention of migraine in adults.[A188309,L10544,L43478] Since 2012, the extended-release formulation has been approved in combination with [phentermine] for chronic weight management therapy in adults.[L10550] 

Characteristics that distinguish topiramate from other antiepileptic drugs are a monosaccharide chemical structure containing a sulfamate, and 40% of its mass accounted for by oxygen.[A175249] Interestingly, topiramate was discovered by chance when attempts were made to formulate a novel antidiabetic drug.[A188330]",[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,0.13,Nephrotoxic,Topiramate,0.3,g
26,5734,DB00909,Zonisamide,UBQNRHZMVUUOMG-UHFFFAOYSA-N,"InChI=1S/C8H8N2O3S/c9-14(11,12)5-7-6-3-1-2-4-8(6)13-10-7/h1-4H,5H2,(H2,9,11,12)","Zonisamide is a sulfonamide anticonvulsant used as an adjunctive therapy in adults with partial-onset seizures.[L42530,L42535]  Zonisamide may act by blocking repetitive firing of voltage-gated sodium channels, leading to a reduction of T-type calcium channel currents or by binding allosterically to GABA receptors. This latter action may inhibit the uptake of the inhibitory neurotransmitter GABA while enhancing the uptake of the excitatory neurotransmitter glutamate.[L42530,L42535] Zonisamide represents an alternative for patients that remain refractory to established antiepileptic drugs. In 1989, it was approved for commercial use in Japan. The US and Europe approved it in 2000 and 2005, respectively.[A1379,A1383]",NS(=O)(=O)CC1=NOC2=CC=CC=C12,0.5,Nephrotoxic,Zonisamide,0.2,g
27,3034010,DB01083,Orlistat,AHLBNYSZXLDEJQ-FWEHEUNISA-N,"InChI=1S/C29H53NO5/c1-5-7-9-11-12-13-14-15-16-18-24(34-29(33)26(30-22-31)20-23(3)4)21-27-25(28(32)35-27)19-17-10-8-6-2/h22-27H,5-21H2,1-4H3,(H,30,31)/t24-,25-,26-,27-/m0/s1","The global prevalence of obesity is increasing rapidly. Obesity-related complications lead to significant personal and economic burden by reducing quality of life and increasing the cost of healthcare.  In some individuals, diet and exercise are insufficient to maintain weight loss, and pharmacological or surgical intervention is required.[A229928]

Orlistat is a lipase inhibitor used in the treatment of obesity that works by inhibiting fat-metabolizing enzymes. It was approved by the FDA for use in combination with a reduced-calorie diet in 1999.[L11130] This drug is a generally well-tolerated and effective weight-loss aid and is now available in both over-the-counter[L31963] and prescription preparations, depending on the dosage quantity.[L11130]",CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,4.4,Nephrotoxic,Orlistat,0.36,g
28,4075,DB00244,Mesalazine,KBOPZPXVLCULAV-UHFFFAOYSA-N,"InChI=1S/C7H7NO3/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,9H,8H2,(H,10,11)","An anti-inflammatory agent, structurally related to the salicylates and non-steroidal anti-inflammatory drugs like acetylsalicylic acid, which is active in inflammatory bowel disease [A174022]. Although demonstrably effective in treating and maintaining remission for ulcerative colitis, mesalazine has historically faced a number of issues regarding its lack of stability as a pharmaceutical agent [A174019]. Throughout the late seventies and the eighties, important research initiatives developed stable mesalazine formulations like the eudragit-S coating of Asacol brand mesalazine and the Pentasa brand's encapsulation of mesalazine within microgranules [A174019]. In the present day, contemporary research regarding novel methods to stabilize mesalazine continues and interest in the agent's capacity to decrease inflammatory activity and subsequently potentially reduce the risk of colorectal cancer in conditions like ulcerative colitis is maintained.[A174019,A174022]",NC1=CC(C(O)=O)=C(O)C=C1,,Nephrotoxic,Mesalazine,1.5,g
29,4044,DB00784,Mefenamic acid,HYYBABOKPJLUIN-UHFFFAOYSA-N,"InChI=1S/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)","A non-steroidal anti-inflammatory agent with analgesic, anti-inflammatory, and antipyretic properties. It is an inhibitor of cyclooxygenase.",CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1,5.12,Nephrotoxic,Mefenamic acid,1,g
30,2554,DB00564,Carbamazepine,FFGPTBGBLSHEPO-UHFFFAOYSA-N,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)","Carbamazepine, also known as Tegretol, is an anticonvulsant drug and analgesic drug used to control seizures and to treat pain resulting from trigeminal neuralgia. It was initially approved by the FDA in 1965.[A180301] Aside from the above uses, this drug is also given to control the symptoms of bipolar 1.[L1335] Interestingly, carbamazepine was the first anticonvulsant used to treat individuals with bipolar disorder.[A180319]",NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,2.77,Nephrotoxic,Carbamazepine,1,g
