iteration,metabolite_smiles,metabolite_pred,metabolite_proba,metabolite_optimal_threshold_from_train,metabolite_pred_optimal,dataset,featurespace
42,['O=C([O-])c1cn(C2CC2)c2c([O-])c(N3CC[NH2+]CC3)c(F)cc2c1=O'],[1.],[0.94562789],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
43,['O=C(Oc1ccccc1C(=O)[O-])c1ccc([O-])cc1'],[1.],[0.61760674],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
44,['COc1c2c(cc3ccc(=O)oc13)C(O)CO2'],[1.],[0.52104545],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
45,['O=C([O-])C1OC(Oc2c3c(c([O-])n2CC2CCCCC2C[NH+]2CCN(c4nsc5ccccc45)CC2)C2CCC3C2)C(O)C(O)C1O'],[1.],[0.81593424],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
46,['COc1ccccc1OCC(O)C[NH+]1CC[NH+](CC(=O)Nc2c(C)ccc([O-])c2C)CC1'],[1.],[0.69042941],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
47,['CC(=O)Nc1c(NC=O)n(C)c(=O)n(C)c1=O'],[0.],[0.39960651],0.490094212947154,[0],Metabolite Compounds Train,morgan_fingerprint
48,['CC(C)(C)c1ccc(S(=O)(=O)N=c2nc([O-])c(Oc3ccccc3[O-])c([O-])[n-]2)cc1'],[0.],[0.42089222],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
49,['Nc1c(Cl)cc(C(=O)NC2CC[NH+](CCCO)CC2)c2c1C(O)CO2'],[0.],[0.36643171],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
50,['COc1cc2[n-]c(N(C)CCC[NH3+])nc(=N)c2cc1OC'],[1.],[0.55352232],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
51,['NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(O)=[NH+]S2(=O)=O'],[1.],[0.62643834],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
52,['O=C1CC2(CCC(O)C2)CC(=O)[NH+]1CCCC[NH+]1CCN(c2ncccn2)CC1'],[0.],[0.26302923],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
53,['[O-]c1cc2c(CC[NH2+]CCCO)cccc2[n-]1'],[1.],[0.63359754],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
54,['CC(COC(=O)C1c2ccccc2Oc2ccccc21)[NH+](C)C'],[0.],[0.45143624],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
55,['Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)[n-]c(=N)c1C'],[1.],[0.55433458],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
56,['CC#CCn1c(N2CCCC(=O)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2CC'],[0.],[0.21021634],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
57,['COc1ccc2nc(S(=O)(=O)Cc3ncc(C)c(OC)c3C)[n-]c2c1'],[1.],[0.7628829],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
58,['CC(OC1=CC(=C2C=N[NH+](C3CC[NH2+]CC3)C2)CNC1=[NH2+])c1c(Cl)ccc(F)c1Cl'],[1.],[0.76788145],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
59,['CC(C)(C)NC(=O)C1C[NH2+]CC[NH+]1CC(O)CC(Cc1ccccc1)C(=O)[O-]'],[1.],[0.75297177],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
60,['CC(C)[NH2+]c1cccnc1[NH+]1CC[NH+](C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1O'],[0.],[0.49781666],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
61,['CO[C@@H]1C=CC=CC=C[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@H](O)C(C)=C[C@@H](C)C(=O)C[C@@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)OC(=O)[C@@H]2CCCC[NH+]2C(=O)C(=O)[C@]2(O)O[C@@H](CC(O)[C@@H]2C)C1'],[1.],[0.86082967],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
62,['Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)NCC(=O)[O-]'],[1.],[0.83503043],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
63,['O=C1[N-]C(=O)C(C#CC2CC2)(C(F)(F)F)c2cc(Cl)ccc2N1'],[0.],[0.43815239],0.490094212947154,[0],Metabolite Compounds Train,morgan_fingerprint
64,['[NH3+]CC[NH2+]CC[NH3+]'],[1.],[0.70185285],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
65,['OCCNc1nc(N2CCCCC2)c2nc(NCCO)nc(N3CCCCC3)c2n1'],[1.],[0.51459704],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
66,['CCC(C)C(=O)OC1CC(O)CC2=CC(O)C(C)C(CCC(O)CC(=O)[O-])C21'],[1.],[0.6932499],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
67,['Nc1ccc(C=Nn2cc([O-])[n-]c2=O)o1'],[0.],[0.29399034],0.490094212947154,[0],Metabolite Compounds Train,morgan_fingerprint
68,['O=C([O-])c1ccccc1[N+](=O)[O-]'],[0.],[0.46025268],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
69,['Cc1ccc(-c2nc3ccc(CO)cn3c2CC(=O)[NH+](C)C)cc1'],[1.],[0.70161768],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
70,['OC1=NC([NH2+]c2c(Cl)ccc3nsnc23)[NH2+]C1'],[1.],[0.87090592],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
71,['CC(Oc1cc(-c2cnn(C3CC[NH2+]CC3)c2)c[n-]c1=N)c1c(F)c([O-])cc(F)c1Cl'],[1.],[0.89741232],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
72,['NS(=O)(=O)c1cc2c(cc1C(F)(F)F)[NH+](C=O)CNS2(=O)=O'],[1.],[0.76160143],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
73,['NS(=O)(=O)c1cc2c(cc1C(F)(F)F)[NH+](O)C(Cc1ccccc1)NS2(=O)=O'],[1.],[0.59110863],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
74,['CC(C=CC(C)C(C)(C)O)C1CCC2C3CCC4CC(O)CC(O)C4(C)C3CCC12C'],[1.],[0.66780621],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
75,['CC(C)(CO)NC(=O)C1C[NH2+]CC[NH+]1CC(O)CC(Cc1ccccc1)C(O)=NC1c2ccccc2CC1O'],[1.],[0.80863697],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
76,['[O-]c1cc2nsnc2c(NC2=[NH+]CCN2)c1Cl'],[1.],[0.81041618],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
77,['N#Cc1cnn2c(-c3cccc(NCCO)c3)ccnc12'],[1.],[0.53792906],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
78,['C[NH+]1CC[NH+](Cc2ccc(C(=O)[O-])cc2)CC1'],[1.],[0.74808692],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
79,['O=C([O-])c1ccccc1OC(=O)c1ccccc1OC1OC(O)C(O)C(O)C1O'],[1.],[0.55969275],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
80,['CC(COc1ccc([O-])cc1)[NH2+]CCCl'],[1.],[0.61837778],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
81,['O=C([O-])CNc1scc(CC(=O)[O-])c1CC(=O)[O-]'],[1.],[0.80819502],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
82,['O[C@H]1CO[C@H]2[C@H]1OC[C@@H]2O'],[1.],[0.56554217],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
83,['O=C([O-])C(CCc1ccccc1)[NH2+]C1CCC[NH+]2CCCC(C(=O)[O-])C12'],[1.],[0.78139158],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
84,['CC(=O)Nc1ccc(S(=O)(=O)[NH+](CC(C)C)CC(O)C(Cc2ccccc2)NC(=O)OC2CCOC2)cc1'],[1.],[0.7628928],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
85,['CC1(C)C2CCC(C2)C1(C)[NH3+]'],[1.],[0.71822736],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
86,['NC(=[NH2+])NC(=O)Cc1c(Cl)cc([O-])cc1Cl'],[1.],[0.75089242],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
87,['O=c1[n-]c(=NC2CC2)c2ncn(C3C=CC(CO)C3)c2[n-]1'],[0.],[0.24340765],0.49009421294715416,[0],Metabolite Compounds Train,morgan_fingerprint
88,['[NH3+]CCSCC[NH3+]'],[1.],[0.82450777],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
89,['CC1C=CC(C)C2CCC(C3=CC=C4CC(O)CC(O)C4O3)C2(C)CC1'],[1.],[0.54605407],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
90,['CN(C)c1ccc([O-])c2c1CC1CC3C([NH3+])C(=O)C(C(N)=O)C(=O)C3(O)C(O)C1C2=O'],[1.],[0.68336713],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
91,['CC[NH+](CC)CCOc1c(I)cc(C(=O)[O-])cc1I'],[1.],[0.84008924],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
92,['CC(C)[N+](C)(C)CCOC(=O)C1c2ccccc2Oc2ccccc21'],[0.],[0.23814219],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
93,['CC(C)c1nc(C[NH+](C)C(=O)NC(CC[NH+]2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OC(O)c2cncs2)c2ccccc2)cs1'],[1.],[0.872455],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
94,['O=c1n(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)cnn1C1CC1'],[1.],[0.54051819],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
95,['COc1cc2c([O-])ncnc2cc1OCC1CC[NH+](C)CC1'],[1.],[0.79689435],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
96,['Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH2+]CC2)n1'],[1.],[0.82745121],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
97,['CCCCc1oc2ccc([O-])cc2c1C(=O)c1cc(I)c(OCC[NH+](CC)CC)c(I)c1'],[1.],[0.86340775],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
98,['Cc1c(-c2ccccc2)oc2c(C(=O)OCC(=O)[O-])ccc([O-])c2c1=O'],[1.],[0.6815771],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
99,['N=c1[n-]c(N=Nc2ccccc2)ccc1N=Nc1ccc(N)[n-]c1=O'],[1.],[0.6563276],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
100,['O=C(/C=C/O)Nc1cc2nc[n-]c(=Nc3ccc(F)c(Cl)c3)c2cc1OC1CCOC1'],[1.],[0.69456289],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
101,['O=C([O-])CC(=O)c1cc(-c2ccc(F)cc2F)ccc1[O-]'],[1.],[0.75673743],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
102,['COc1ccc(CC(CC([NH3+])C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)cc1[O-]'],[1.],[0.80337277],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
103,['NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(O)NS2(=O)=O'],[1.],[0.79777791],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
104,['CC1[NH2+]c2cc(Cl)c(Cl)cc2C(=O)[NH+]1c1ccccc1CO'],[1.],[0.76254399],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
105,['C[NH+](C)CCCOc1nn(Cc2ccccc2)c2cc([O-])ccc12'],[1.],[0.6021667],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
106,['O=S1c2ccccc2[NH+]=C(N2CC[NH+](CCOCCO)CC2)c2ccccc21'],[1.],[0.75557037],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
107,['CC(C)(CO)C(=O)OCOP(=O)([O-])COCCn1cnc2c(N)ncnc21'],[1.],[0.74349851],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
108,['Cc1ccc(S(=O)(=O)[N-]C(=O)[NH2+]CCO)cc1'],[0.],[0.15262962],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
109,['N=c1[n-]c2cc(OC(F)(F)F)c([O-])cc2s1'],[1.],[0.84744553],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
110,['CCCCCCCCCCCC(O)CC1OC(=O)C1CCCCC'],[1.],[0.74714789],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
111,['CC/C(=C\\c1ccc(OCC(=O)[O-])c(Cl)c1Cl)CO'],[1.],[0.84487569],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
112,['C[NH2+]C(C)C(=O)c1ccccc1'],[1.],[0.65401761],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
113,['NS(=O)(=O)c1cc(NC=O)c(NC=O)cc1C(F)(F)F'],[1.],[0.80105795],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
114,['N=c1[n-]c(=O)[n-]c2c(=O)[n-]c(N3CCCCC3)nc12'],[0.],[0.39411867],0.49009421294715416,[0],Metabolite Compounds Train,morgan_fingerprint
115,['CCc1c([O-])ccc2c3c([nH]c12)C(CC)(CC(=O)[O-])OCC3'],[1.],[0.80601113],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
116,['Cc1ncc(CO)c(C=O)c1[O-]'],[1.],[0.64727918],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
117,['CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH3+])C2O)C(C)(O)CC(C)C[NH+](C)C1(C)O'],[1.],[0.90408216],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
118,['CC1CN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C4OC(C(=O)[O-])C(O)C(O)C4O)c3c2F)CC[NH2+]1'],[1.],[0.7661961],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
119,['Nc1nc(N(CCO)CCO)nc2c(N3CCCCC3)nc(N(CCO)CCO)nc12'],[1.],[0.52822967],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
120,['CCCCC(F)(F)C1(O)CCC2C(CC(O)C2CCCCCCC(=O)[O-])O1'],[1.],[0.74679081],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
121,['C[NH2+]CC(c1ccc(OC)cc1)C1(O)CCCCC1'],[1.],[0.74276645],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
122,['Nc1nc(Cl)nc2[n-]cnc12'],[1.],[0.701316],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
123,['CC1=NC(C)=C(C(=O)[O-])C(c2cccc([N+](=O)[O-])c2)C1'],[0.],[0.29372545],0.49009421294715416,[0],Metabolite Compounds Train,morgan_fingerprint
124,['CCCC(NC(=O)C1C2CCCC2C[NH+]1C(=O)C(NC(=O)C([NH3+])C1CCCCC1)C(C)(C)C)C(=O)[O-]'],[1.],[0.82330212],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
125,['COc1cc2[nH]cc(CCNC(C)=O)c2cc1OC'],[0.],[0.36461299],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
126,['CC(=O)Nc1ccc(OS(=O)(=O)[O-])cc1'],[1.],[0.79693611],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
127,['[O-]c1nc([S-])c2nc[n-]c2n1'],[1.],[0.78686417],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
128,['CCC[NH2+]C[C@H](O)COc1ccccc1C(=O)CCc1ccc([O-])cc1'],[1.],[0.85872077],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
129,['CC[NH+](CC)CC=NC(=O)c1c(C)[nH]c(Cc2c([O-])[n-]c3cc([O-])c(F)cc23)c1C'],[1.],[0.8870525],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
130,['Cc1c(CO)ccc(Nc2ccccc2C(=O)[O-])c1CO'],[1.],[0.78319824],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
131,['OCC(O)(c1ccc(F)cc1F)C(O)c1ncncc1F'],[1.],[0.93839798],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
132,['CC(C)CC1CCCCC1(O)c1cccc([O-])c1'],[1.],[0.56613548],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
133,['CC(O)CCC(=O)[NH+](Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1)[C@@H](C(=O)[O-])C(C)C'],[1.],[0.81160054],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
134,['CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)C(C)(C)CCC1'],[1.],[0.79889935],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
135,['CC(COc1ccccc1)[NH2+]CCCl'],[1.],[0.75857074],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
136,['CNC(=O)c1cc([O-])ccc1Sc1ccc2c(/C=C/c3ccccn3)[n-]nc2c1'],[0.],[0.35352028],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
137,['CCC1OC(=O)C(C)C(O)C(C)C(O)C(C)(OC2OC(C)CC([NH2+]C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O'],[1.],[0.75593238],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
138,['CC(O)CCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1'],[1.],[0.88144195],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
139,['OCCN(CCO)c1nc(N2CCCC(O)C2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1'],[1.],[0.68839279],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
140,['CCCCC(F)(F)C1(O)CCC2C(CC(O)C2CCCCCC(=O)[O-])O1'],[1.],[0.91978768],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
141,['CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O[C@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O'],[1.],[0.87938881],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
142,['[NH3+]CC(O)CC(=O)[O-]'],[1.],[0.87807154],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
